iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
2480,0.15200001,0.6,0.15200001,0.536
2490,0.22399999,0.568,0.2,0.60800004
2500,0.22399999,0.6,0.248,0.6
2510,0.23200001,0.6240001,0.22399999,0.52
2520,0.29600003,0.56799996,0.23200001,0.568
2530,0.176,0.55200005,0.176,0.60800004
2540,0.24,0.56,0.26400003,0.56
2550,0.17599998,0.52,0.22399999,0.568
2560,0.192,0.56000006,0.22399999,0.55200005
2570,0.216,0.56,0.20799999,0.6
2580,0.152,0.56,0.18400002,0.56
2590,0.2,0.544,0.24800001,0.584
2600,0.2,0.6,0.216,0.632
2610,0.216,0.584,0.2,0.616
2620,0.24,0.64,0.12,0.616
2630,0.2,0.55200005,0.16,0.632
2640,0.2,0.632,0.22399999,0.624
2650,0.216,0.56799996,0.18400002,0.616
2660,0.192,0.57600003,0.216,0.64
2670,0.24,0.568,0.168,0.60800004
2680,0.20799999,0.568,0.264,0.57600003
2690,0.2,0.56,0.168,0.624
2700,0.144,0.544,0.16,0.584
2710,0.264,0.616,0.20799999,0.584
2720,0.24,0.56,0.26400003,0.52800006
2730,0.184,0.56,0.192,0.632
2740,0.192,0.59200007,0.23200001,0.576
2750,0.168,0.60800004,0.24800001,0.576
2760,0.216,0.576,0.22400002,0.536
2770,0.22400002,0.6,0.18400002,0.6
2780,0.16,0.544,0.192,0.64
2790,0.192,0.60800004,0.168,0.61600006
2800,0.16,0.584,0.21600002,0.616
2810,0.2,0.55200005,0.208,0.592
2820,0.192,0.59200007,0.14400001,0.57600003
2830,0.2,0.544,0.22400002,0.576
2840,0.176,0.544,0.19199999,0.60800004
2850,0.192,0.576,0.272,0.60800004
2860,0.168,0.584,0.20799999,0.57600003
2870,0.272,0.56,0.28,0.568
2880,0.16800001,0.568,0.16,0.59200007
2890,0.23200001,0.584,0.176,0.6400001
2900,0.176,0.59199995,0.21600002,0.504
2910,0.18400002,0.57600003,0.216,0.6
2920,0.208,0.632,0.216,0.568
2930,0.20799999,0.584,0.16800001,0.584
2940,0.296,0.528,0.22400002,0.584
2950,0.192,0.552,0.176,0.6
2960,0.2,0.616,0.18400002,0.58400005
2970,0.176,0.56,0.168,0.57600003
2980,0.18400002,0.568,0.19199999,0.59199995
2990,0.2,0.536,0.20799999,0.624
3000,0.16800001,0.64,0.192,0.624
3010,0.18400002,0.56,0.192,0.6
3020,0.168,0.57600003,0.192,0.56
3030,0.216,0.616,0.20799999,0.536
3040,0.23200001,0.544,0.216,0.576
3050,0.20799999,0.6,0.192,0.536
3060,0.2,0.624,0.168,0.59200007
3070,0.24000002,0.56,0.312,0.6
3080,0.21600002,0.576,0.208,0.624
3090,0.168,0.56,0.15200001,0.57600003
3100,0.176,0.6,0.24,0.624
3110,0.216,0.568,0.20799999,0.568
