iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
2280,0.2,0.512,0.192,0.432
2290,0.15200001,0.4,0.176,0.36
2300,0.192,0.472,0.208,0.44
2310,0.192,0.46400002,0.208,0.44
2320,0.216,0.47199997,0.256,0.48800004
2330,0.2,0.504,0.18400002,0.44799998
2340,0.16,0.432,0.20799999,0.45599997
2350,0.14400001,0.44800004,0.18400002,0.42400002
2360,0.20799999,0.432,0.248,0.344
2370,0.216,0.42400002,0.23200001,0.46400002
2380,0.208,0.42400002,0.176,0.408
2390,0.168,0.48800004,0.22400002,0.47199997
2400,0.168,0.488,0.264,0.488
2410,0.23200001,0.504,0.21599999,0.496
2420,0.18400002,0.46400002,0.13599999,0.45600003
2430,0.256,0.472,0.192,0.44799998
2440,0.18400002,0.488,0.17600003,0.46400002
2450,0.16800001,0.46400002,0.128,0.544
2460,0.16,0.42400002,0.18400002,0.472
2470,0.176,0.41599998,0.136,0.44800004
2480,0.208,0.48,0.24800001,0.46400002
2490,0.144,0.46400002,0.22400002,0.45599997
2500,0.256,0.44799998,0.208,0.46400002
2510,0.16800001,0.45600003,0.216,0.46400002
2520,0.176,0.47200003,0.16800001,0.48
2530,0.176,0.45599997,0.22400002,0.48
2540,0.192,0.52800006,0.216,0.46400002
2550,0.2,0.496,0.103999995,0.48800004
2560,0.272,0.44,0.192,0.47200003
2570,0.20799999,0.41599998,0.216,0.48
2580,0.16800001,0.472,0.176,0.49600002
2590,0.176,0.408,0.24,0.46400002
2600,0.23200001,0.46400002,0.18400002,0.504
2610,0.22400002,0.52800006,0.21600002,0.42400002
2620,0.16,0.44,0.16800001,0.488
2630,0.20799999,0.48,0.2,0.52800006
2640,0.26400003,0.504,0.16,0.48
2650,0.22400002,0.472,0.2,0.45600003
2660,0.168,0.44,0.192,0.52
2670,0.16,0.416,0.23200001,0.46400002
2680,0.192,0.512,0.168,0.496
2690,0.16,0.45599997,0.2,0.42400002
2700,0.20799999,0.536,0.2,0.45599997
2710,0.18400002,0.472,0.192,0.472
2720,0.16800001,0.44,0.15200001,0.45600003
2730,0.16800001,0.488,0.20799999,0.52800006
2740,0.2,0.52000004,0.216,0.41599998
